Wage,Age,Overall,Potential,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
1,26,88,90,0,3,3,2,185,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87
1,30,88,88,1,4,4,5,176,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86
1,29,88,88,0,3,4,4,176,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36
1,27,91,93,0,4,3,1,168,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13
1,30,87,87,0,4,3,3,172,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70
1,26,88,89,1,3,3,4,157,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41
1,29,87,87,1,3,3,3,150,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85
1,30,88,88,0,4,4,3,196,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18
1,26,89,92,0,3,4,1,187,15,14,11,36,14,17,18,12,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10
1,26,89,90,1,4,2,1,212,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16
1,31,87,87,0,4,3,2,187,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84
1,30,85,85,0,4,4,4,179,75,81,80,83,82,83,79,73,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,85,82,79,47,15,12
1,29,85,85,0,3,3,3,157,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73
1,25,87,89,1,3,3,3,207,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30
1,27,89,90,0,3,3,2,159,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85
1,33,89,89,1,4,3,2,187,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90
1,22,85,92,1,3,3,4,168,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39
1,29,85,85,0,4,3,4,163,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35
1,25,87,91,0,4,4,5,185,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68
1,25,86,91,0,3,3,2,179,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87
1,29,90,90,0,4,4,4,176,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19
1,24,89,94,1,3,3,4,165,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20
1,24,89,91,0,3,4,3,196,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38
1,26,88,91,0,3,5,4,168,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22
1,24,87,92,1,3,3,2,165,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86
1,27,85,85,1,3,4,5,148,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18
1,31,85,85,0,4,4,3,165,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86
1,27,83,83,0,2,4,4,154,86,73,52,83,54,82,82,75,75,83,84,79,79,85,84,82,68,90,57,80,65,44,81,83,56,75,42,50,44
1,31,89,89,0,4,4,3,170,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39
1,31,87,87,0,3,3,1,176,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14
1,22,86,92,1,2,3,4,165,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35
1,26,86,87,0,3,4,4,152,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38
1,23,86,89,0,3,3,4,152,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54
1,26,86,87,0,3,4,4,168,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42
1,29,86,86,1,4,2,4,168,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19
1,33,86,86,0,3,4,3,148,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80
1,26,84,87,0,3,3,3,161,83,41,70,81,34,76,72,47,71,83,79,84,81,82,79,64,76,84,74,36,81,83,61,57,45,77,83,83,85
1,23,86,91,1,2,3,4,141,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35
1,28,86,86,0,3,4,3,159,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70
1,27,85,86,0,3,4,4,161,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30
1,28,83,85,0,2,4,2,168,70,32,82,80,38,55,55,37,61,78,70,79,60,79,68,54,81,78,79,28,78,81,37,53,45,73,75,86,85
1,27,86,86,1,3,3,5,154,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34
1,28,86,86,0,3,3,2,168,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86
1,27,84,84,0,3,4,4,176,74,73,50,88,75,85,81,74,83,86,67,68,78,85,78,77,61,69,72,73,70,77,79,86,76,87,73,68,64
1,29,84,84,0,3,4,4,172,76,77,31,80,59,88,82,83,77,84,91,86,89,82,79,79,41,85,60,81,44,55,80,83,70,79,43,57,51
1,30,85,85,0,3,3,2,179,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84
1,32,85,85,0,4,3,2,187,61,45,84,73,46,63,61,52,66,70,52,59,57,87,41,75,72,66,87,55,87,82,41,59,63,81,87,85,84
1,26,83,86,0,3,3,4,150,85,63,72,86,50,78,74,60,78,83,78,79,69,80,74,65,47,85,69,66,68,81,69,83,57,76,75,83,83
1,27,88,88,0,3,3,4,130,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22
1,33,88,88,0,4,3,2,181,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85
1,26,86,88,0,3,3,2,203,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84
1,22,84,90,0,3,3,4,168,76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,73,81,79,38,39,36
1,29,84,84,1,3,3,3,187,71,64,74,84,73,80,72,67,83,79,52,59,44,83,50,83,67,84,85,75,80,86,69,73,64,84,83,84,75
1,28,84,84,0,3,2,2,154,81,51,74,78,57,79,76,71,67,78,86,93,67,83,72,86,83,89,75,69,78,81,67,69,63,75,78,84,83
1,24,83,89,0,3,4,4,172,73,62,42,87,76,88,78,68,82,89,84,74,81,70,85,79,63,82,65,75,77,78,69,88,59,72,69,75,63
1,25,82,87,1,2,4,4,157,72,73,55,86,76,87,75,61,76,84,71,70,80,79,80,79,73,67,66,82,44,70,77,81,67,80,68,74,66
1,29,88,88,0,4,3,3,203,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88
1,27,86,86,1,3,3,3,176,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84
1,31,86,86,0,3,3,2,187,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80
1,31,86,86,0,3,3,2,207,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85
1,31,85,85,0,3,4,2,198,72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,69,84,80,83,76
1,32,84,84,0,3,3,3,187,72,84,90,75,86,76,64,49,67,77,67,73,67,86,53,80,85,83,85,60,88,66,90,74,76,80,59,64,64
1,30,83,83,1,3,3,4,139,83,78,56,85,71,82,84,86,79,88,69,62,84,85,89,75,70,71,37,72,50,39,83,85,81,87,42,31,21
1,31,87,87,1,3,3,3,190,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88
1,26,84,87,0,2,3,3,148,75,57,56,89,71,82,75,76,87,85,75,69,80,83,73,71,58,79,66,62,79,78,72,87,84,79,63,78,70
1,21,83,92,1,3,5,4,148,78,78,43,78,76,90,78,64,70,83,93,92,90,82,85,83,59,73,46,70,54,36,79,84,75,75,42,30,33
1,31,88,88,1,4,1,1,181,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18
1,29,86,87,0,3,3,2,179,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86
1,30,84,84,0,3,3,5,159,80,67,58,80,70,90,78,69,69,85,89,93,91,80,82,84,75,78,61,80,78,62,78,76,65,80,63,70,74
1,27,89,90,1,4,3,4,161,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48
1,31,85,85,1,3,2,2,165,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86
1,29,83,83,0,3,5,4,165,77,74,53,80,81,84,83,64,71,86,84,78,87,79,85,85,69,83,62,73,69,64,82,84,72,76,41,53,55
1,30,84,84,0,3,2,2,187,47,44,85,60,46,58,29,35,51,58,64,73,60,81,64,77,86,69,86,48,88,77,49,45,24,82,85,87,85
1,31,83,83,0,4,3,3,170,85,72,74,90,81,79,78,81,89,85,56,54,62,81,75,77,63,56,61,70,45,50,72,91,78,92,64,59,58
1,21,82,89,1,2,4,4,163,79,75,57,82,71,85,77,81,73,85,87,82,92,80,84,85,58,74,64,85,53,26,79,83,68,78,21,28,17
1,25,82,84,1,1,4,4,141,67,74,55,85,70,79,70,72,80,86,77,79,84,82,87,76,83,87,61,76,73,80,69,76,65,82,76,78,69
1,25,82,83,0,2,3,4,137,74,78,64,78,70,83,80,63,66,83,84,82,86,83,86,80,63,87,53,80,73,53,86,82,65,84,65,50,44
1,30,82,82,0,3,5,4,143,78,78,55,80,70,84,81,57,71,85,79,74,82,81,80,77,66,70,47,79,56,49,82,77,66,77,49,32,31
1,31,82,82,1,3,3,3,203,64,83,90,79,82,70,70,65,58,83,43,50,57,83,54,85,84,62,88,74,76,42,83,76,83,78,37,37,20
1,28,81,81,0,3,4,3,154,74,71,58,83,65,77,80,65,79,82,75,68,79,82,78,75,61,87,67,69,86,86,78,78,79,84,78,80,77
1,24,80,85,0,1,4,3,168,50,81,82,69,70,75,76,76,51,72,84,85,79,82,72,85,92,81,79,82,86,45,79,63,75,68,41,40,34
1,31,87,87,0,3,4,4,134,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40
1,25,86,89,0,3,4,4,132,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80
1,28,86,86,0,4,4,3,165,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44
1,24,84,88,1,2,3,2,187,58,45,85,76,40,59,61,69,78,73,62,66,45,83,55,68,75,67,82,47,75,85,54,57,44,77,85,86,87
1,23,82,88,1,1,4,2,179,36,23,78,78,24,60,25,27,69,76,72,73,62,79,60,58,79,73,80,35,80,82,47,60,43,74,85,82,81
1,25,82,85,0,3,4,3,187,73,80,86,78,80,83,76,44,51,82,76,86,66,79,60,80,84,68,78,72,56,24,85,76,70,76,37,14,20
1,29,82,84,0,3,3,1,183,17,10,12,47,19,12,10,10,33,32,54,50,48,78,50,35,71,40,67,15,25,25,11,60,21,61,18,12,11
1,32,89,89,0,5,4,1,203,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11
1,25,87,90,0,3,4,3,165,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20
1,27,86,86,0,3,3,5,154,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65
1,21,83,92,0,2,3,4,161,66,84,74,76,72,86,76,54,66,85,87,85,92,86,91,78,77,84,68,73,73,32,88,77,78,82,53,23,19
1,27,83,84,1,2,3,3,192,85,68,83,84,70,79,85,86,73,83,69,76,64,84,58,84,71,90,76,77,75,79,79,69,64,76,79,82,79
1,31,83,83,0,4,3,3,190,68,55,81,77,63,66,70,76,77,79,59,62,69,75,56,79,78,66,79,73,85,85,54,69,75,77,79,83,82
1,27,82,83,0,3,3,3,168,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67
1,27,82,82,0,3,3,4,152,67,70,72,84,73,84,76,70,76,84,77,76,80,82,81,76,80,85,72,71,64,76,79,78,74,82,74,75,65
1,26,81,81,1,3,4,5,159,78,71,45,81,76,86,88,84,80,84,84,77,84,80,91,87,52,75,73,84,61,55,74,81,65,82,35,49,48
1,28,81,82,0,3,3,2,179,52,54,82,63,49,59,49,22,63,58,61,74,55,75,45,42,76,71,87,35,83,81,48,49,52,67,81,82,80
1,24,80,85,0,3,4,4,185,61,65,69,82,63,80,82,67,81,78,68,62,67,77,64,80,58,76,86,71,81,74,74,81,55,78,75,75,64
1,32,90,90,0,3,3,2,172,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89
1,30,87,87,0,3,5,3,174,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62
1,24,86,90,1,2,3,1,190,20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8
1,28,85,87,0,3,3,1,198,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,18,65,20,13,12
1,25,84,85,0,3,5,4,143,78,85,65,79,79,88,81,70,64,85,88,87,82,84,76,86,63,85,63,88,60,39,85,80,71,82,48,34,33
1,30,84,84,1,4,2,5,152,83,72,51,82,77,86,84,82,79,85,85,84,92,80,77,83,72,73,60,77,73,38,82,82,73,82,35,59,56
1,24,83,87,0,2,4,3,154,62,29,83,81,27,69,47,29,74,80,67,71,61,82,59,46,75,79,77,38,79,81,48,67,44,80,85,85,82
1,28,83,83,0,2,3,3,146,60,50,69,80,32,75,33,61,72,79,76,72,80,81,80,80,87,89,70,66,84,87,67,67,54,80,84,89,84
1,21,82,90,0,1,3,4,161,70,72,58,85,63,82,68,60,80,83,68,70,79,81,86,76,83,78,62,74,73,75,77,82,69,84,65,76,70
1,28,82,82,0,3,5,3,181,86,77,60,84,75,80,87,86,80,85,58,55,68,78,63,83,68,86,68,86,57,55,79,86,79,84,57,57,55
1,28,82,82,0,2,3,3,176,81,67,65,84,72,73,80,74,84,80,67,66,70,80,70,77,79,91,72,71,77,80,75,83,64,78,77,79,76
1,24,81,86,0,2,3,4,148,74,50,58,73,42,80,61,30,65,78,91,92,88,82,83,74,80,91,62,60,77,80,72,62,38,75,75,78,79
1,28,80,80,1,3,2,4,168,62,83,70,72,73,79,62,68,62,80,72,78,74,78,64,82,70,55,66,79,60,22,81,74,75,81,11,24,12
1,24,84,88,0,3,2,3,172,79,66,75,83,47,76,71,53,78,82,69,72,69,83,67,78,75,92,79,65,85,84,70,75,91,84,83,86,84
1,23,83,88,0,2,4,4,141,62,74,42,88,71,88,64,70,78,88,78,60,89,82,90,76,53,82,58,73,78,75,74,81,58,79,68,62,61
1,30,83,83,1,3,2,4,181,65,66,70,86,73,89,65,55,80,89,72,72,79,83,76,81,75,70,89,70,79,82,70,80,63,90,75,82,70
1,29,82,82,0,3,4,4,183,80,78,74,78,79,84,79,72,74,85,79,83,70,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39
1,21,81,88,0,1,3,4,154,74,68,41,83,62,85,73,63,80,85,73,67,82,80,79,64,52,75,62,71,76,76,76,83,55,80,62,75,74
1,32,81,81,0,2,2,3,183,79,60,62,81,64,80,70,66,72,81,82,85,72,82,78,85,69,79,79,66,80,82,73,71,55,82,77,82,79
1,32,81,81,0,2,4,3,154,86,62,66,84,76,76,81,75,81,79,63,62,69,84,73,82,62,91,71,70,82,79,72,79,83,86,74,80,79
1,28,80,80,1,2,3,3,172,74,64,60,82,59,77,72,53,76,82,75,72,87,81,86,82,67,87,65,75,84,80,72,73,65,76,77,81,79
1,24,79,86,0,2,3,3,152,77,72,44,82,68,83,82,70,78,84,77,77,82,82,76,75,58,72,57,73,47,62,76,81,63,70,69,59,42
1,30,79,79,0,3,3,3,187,61,73,93,81,68,67,64,46,66,82,41,48,47,81,49,75,64,75,91,65,94,74,84,73,64,78,77,77,60
1,31,77,77,0,3,4,4,168,77,71,65,79,78,79,79,64,78,80,75,68,81,74,76,75,78,59,68,75,80,61,77,80,73,79,69,63,60
1,27,87,90,0,3,3,2,196,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86
1,28,87,87,0,3,4,3,187,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32
1,25,85,90,0,3,3,1,201,17,13,19,45,20,27,19,18,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16
1,29,85,85,0,4,4,2,198,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87
1,32,85,85,0,3,5,2,185,63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16
1,22,84,90,0,3,3,4,176,69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,85,74,86,70,70,63
1,26,84,87,0,3,4,1,183,9,9,13,45,10,16,9,8,40,22,46,52,52,80,44,23,73,43,68,14,28,22,7,54,23,66,27,15,18
1,32,84,84,0,3,4,3,159,55,86,89,79,84,75,83,73,58,82,69,66,76,85,75,79,91,68,75,80,75,41,88,70,81,87,39,42,19
1,24,83,86,1,3,3,4,154,84,70,50,86,72,88,87,80,75,89,83,77,86,78,84,78,50,77,56,87,23,20,76,84,72,76,50,23,18
1,25,83,84,0,3,3,4,154,75,78,50,77,70,88,69,74,74,81,94,90,94,76,90,79,77,75,59,76,72,50,80,74,74,80,31,43,51
1,26,82,84,0,3,3,2,181,53,58,81,77,51,53,55,47,69,70,58,65,63,82,67,66,83,68,78,52,82,82,50,55,54,73,80,82,82
1,28,82,82,0,3,3,4,165,82,70,70,84,78,83,78,78,80,85,75,77,77,82,77,84,69,84,66,86,68,72,78,82,68,82,74,72,68
1,32,82,82,0,3,3,2,165,52,32,80,76,35,62,22,49,69,66,64,66,65,76,61,54,78,62,75,47,86,84,41,56,51,75,80,84,83
1,25,81,84,1,3,2,3,181,71,49,62,85,50,70,73,77,85,80,47,49,49,77,61,88,32,80,75,80,92,71,77,81,63,74,68,72,68
1,28,81,82,0,2,4,2,185,59,33,80,69,42,63,26,18,66,67,54,55,50,75,41,63,81,68,82,34,87,81,21,56,52,70,77,83,85
1,22,80,88,0,1,3,3,146,81,45,73,77,48,69,69,30,70,77,80,82,78,77,79,58,71,80,63,59,63,75,68,63,62,69,83,79,80
1,28,79,79,1,3,2,3,176,74,50,79,72,48,64,67,57,73,67,68,69,68,74,63,80,82,68,77,63,92,77,57,57,64,73,76,81,79
1,22,77,83,1,2,2,4,152,65,78,75,77,75,81,70,67,58,80,78,80,78,71,78,76,63,69,63,77,48,22,77,71,66,76,38,24,22
1,33,88,88,0,3,2,1,203,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13
1,26,85,87,1,4,4,3,168,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80
1,29,85,85,0,3,5,4,176,83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,76,80,64,52,54
1,34,84,84,1,4,2,4,176,80,85,51,82,86,89,90,81,71,88,83,76,87,85,90,86,60,64,67,86,47,37,84,80,78,85,30,26,26
1,25,83,85,0,3,4,4,154,79,71,44,80,68,90,71,69,74,88,93,89,89,74,88,83,38,72,53,84,67,69,73,79,53,82,47,60,54
1,24,82,87,1,2,3,5,170,82,70,50,82,74,86,82,80,72,87,83,83,85,80,79,82,49,80,63,82,52,66,78,80,72,83,65,46,42
1,25,82,84,0,2,3,2,187,68,27,80,75,34,59,35,56,72,69,67,78,59,82,50,70,73,60,82,41,88,80,33,57,40,72,82,85,82
1,20,81,89,0,2,4,4,154,75,78,71,75,72,83,77,78,65,80,90,93,88,79,77,87,68,79,71,77,70,42,81,74,74,73,32,40,33
1,30,80,80,0,3,5,4,161,74,72,67,84,72,84,77,66,76,85,70,69,78,74,75,72,70,77,64,71,76,64,75,83,70,80,61,64,62
1,23,79,87,0,1,3,3,161,56,39,61,84,44,68,45,51,81,78,61,59,58,74,66,58,66,75,72,56,65,80,65,76,53,76,76,79,72
1,26,79,80,0,2,4,3,172,74,61,69,77,72,73,76,76,69,79,73,76,70,79,65,85,74,82,76,74,75,81,75,64,67,69,78,77,78
1,26,79,80,0,2,3,2,157,60,44,78,73,49,59,38,35,67,64,54,59,52,77,59,68,82,64,79,59,86,80,42,54,55,68,76,81,82
1,28,79,79,0,2,4,3,179,64,60,61,80,69,75,72,69,83,78,63,63,67,77,76,77,54,77,69,72,74,75,71,79,53,78,69,76,73
1,32,79,79,0,2,3,4,143,84,64,57,79,71,77,86,75,70,79,77,72,77,80,76,75,55,75,67,69,78,77,67,76,60,74,75,76,74
1,32,77,77,1,3,3,2,176,63,52,81,80,56,55,61,64,78,64,67,64,61,70,56,78,90,52,79,68,77,73,41,51,62,72,72,79,80
1,30,85,85,0,3,3,3,170,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90
1,22,84,88,0,2,3,2,174,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88
1,25,84,89,0,2,3,1,170,11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,44,21,65,20,12,19
1,31,84,84,0,3,3,3,161,82,78,65,80,84,82,73,65,51,85,88,89,85,82,80,78,73,91,55,80,54,40,88,78,62,79,64,32,32
1,24,81,87,0,2,3,2,170,51,33,79,70,42,60,46,43,56,65,68,79,65,74,62,55,85,72,85,48,87,81,47,54,46,70,80,82,83
1,23,81,86,1,2,3,3,187,87,33,65,80,31,80,80,34,69,79,77,86,68,80,70,79,71,81,81,65,75,79,77,76,50,79,78,79,81
